ID_cellule	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Min	Max	Range	Mean
ID78	-4.19	35.21	14.94414316	14.2906618	14.40800826	15.04698073	16.65640175	18.80855685	21.02749376	21.99412465	21.08945037	19.39284921	17.87380615	16.23835258	13.53924219	23.35737788	9.818135692	17.64756911
ID79	-4.19	35.31	15.02311766	14.35770575	14.45763963	15.0959122	16.73938749	18.90842226	21.13768797	22.17638846	21.28473632	19.53716227	17.98034917	16.31619087	13.57225174	23.54920287	9.976951123	17.751225
ID80	-4.19	35.41	15.05537461	14.39191517	14.49985197	15.15464574	16.85224816	19.04174165	21.2830091	22.40434474	21.55160815	19.75479155	18.10140619	16.35889841	13.52030472	23.79365671	10.27335199	17.87081962
ID81	-4.19	36.61	14.60771891	14.12010384	14.42832299	15.18238128	17.02609531	19.22072303	21.39309547	22.83211983	22.3154217	20.43579886	18.14660659	16.0641426	12.97889663	24.06463531	11.08573868	17.9810442
ID82	-4.19	36.71	14.58935318	14.09329992	14.40148002	15.16497408	17.00677105	19.20439464	21.36134988	22.82581176	22.32329389	20.45250559	18.15159106	16.05166729	12.87294076	24.02029318	11.14735241	17.96887436
ID83	-4.09	35.21	15.02435941	14.35181558	14.44883801	15.08876428	16.72234187	18.89154672	21.14541469	22.16346431	21.23752803	19.4918294	17.95744144	16.31983559	13.58980523	23.58920822	9.999402986	17.73693161
ID84	-4.09	35.31	15.05007275	14.37659216	14.47195134	15.11686581	16.78018846	18.964892	21.22940114	22.29776298	21.38010483	19.59103584	18.02029873	16.34532697	13.5754313	23.69701102	10.12157972	17.80204108
ID85	-4.09	36.71	14.55858819	14.06341056	14.37501983	15.13641204	16.97888199	19.17534389	21.32543644	22.81487497	22.34167931	20.46738625	18.14317277	16.02699085	12.74149918	23.99777376	11.25627457	17.95059976
ID86	-3.99	35.21	15.0525972	14.37554449	14.47271806	15.13155302	16.79876342	18.9853878	21.27905144	22.30001097	21.34220972	19.55236576	18.00195721	16.35551023	13.63490273	23.79908026	10.16417753	17.80397244
ID87	-3.99	35.31	15.06813805	14.3909301	14.4892693	15.15074504	16.84665747	19.04890643	21.34712029	22.42552316	21.49363092	19.66675572	18.06437919	16.36956061	13.61351101	23.88945226	10.27594125	17.86346802
ID88	-3.99	35.41	15.07907062	14.40231464	14.51221716	15.18358111	16.92692214	19.14340719	21.43990745	22.62884871	21.77862596	19.9146656	18.17867792	16.38715314	13.51699651	24.04694765	10.52995114	17.96461597
ID89	-3.99	36.71	14.49423683	14.00342747	14.31062546	15.06771786	16.88992021	19.07668159	21.20092389	22.73213805	22.31761816	20.46477691	18.11532679	15.97711286	12.55583366	23.91323384	11.35740018	17.88754217
ID90	-3.89	35.21	15.06477405	14.38363856	14.48103884	15.14951872	16.8437032	19.0357718	21.34981426	22.38222653	21.42959592	19.6100955	18.03569046	16.37778758	13.63561905	23.90999271	10.27437367	17.84530462
ID91	-3.89	35.31	15.07743539	14.39488121	14.4945735	15.16286762	16.87685598	19.08600226	21.40068287	22.49497809	21.56862489	19.72850973	18.09215887	16.38735253	13.6116911	23.97761057	10.36591947	17.89707691
ID92	-3.89	35.51	15.09131166	14.40121041	14.52368187	15.20963575	16.98678734	19.22176355	21.53076767	22.84844691	22.06892034	20.20394257	18.29836732	16.41623179	13.43538472	24.2605995	10.82521479	18.0667556
ID93	-3.89	36.71	14.48023693	13.97833298	14.27249596	15.0260941	16.82503115	19.01441267	21.12850174	22.69009315	22.30006691	20.45347507	18.09660163	15.95283189	12.5729505	23.86021691	11.28726641	17.85151452
ID94	-3.79	35.21	15.06451786	14.3848138	14.4824669	15.15333834	16.85870418	19.04692547	21.37372203	22.44476319	21.50809715	19.67817423	18.06011679	16.38741546	13.62905665	23.97794234	10.34888569	17.87025462
ID95	-3.79	35.31	15.0763766	14.39427134	14.4942582	15.16490953	16.88887024	19.09413542	21.42289154	22.553257	21.6339818	19.78435977	18.10905447	16.39599631	13.62321936	24.05873934	10.43551998	17.91769685
ID96	-3.79	35.51	15.0909103	14.39780995	14.52101036	15.20824381	16.99207763	19.24092287	21.5484751	22.90671826	22.13225029	20.25605214	18.31548613	16.42405339	13.46472998	24.32079914	10.85606915	18.08616752
