ID_taxon	Super_class	Order	Family	Genus	Species	Max_length	Vertical_Distribution	Littoral	Continental_shelf	Continental_slope	Open_ocean	Habitat_soft	Habitat_rocky	Habitat_posidonia	Min_depth	Max_depth	Migration	Reproduction	Sex_reversal	Semelparity	Behavior	Diet	Trophic_level	Origin
249	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_melanopterus	200	Pelagic	1	0	0	0	1	1	0	1	30	Amphidromous	Viviparous	no	no	Both	Carnivorous	3.9	U
250	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_obscurus	420	Pelagic	1	1	1	1	0	0	0	1	400	Oceanodromous	Viviparous	no	no	Solitary	Carnivorous	4.3	U
251	chondrichtyen	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus_plumbeus	300	Demersal	0	1	0	0	1	0	0	1	100	Oceanodromous	Viviparous	no	no	Gregarious	Carnivorous	4.5	U
502	chondrichtyen	Lamniformes	Odontaspididae	Carcharias	Carcharias_taurus	320	Demersal	1	0	0	0	1	0	0	1	70	Oceanodromous	Ovoviviparous	no	no	Both	Carnivorous	4.5	U
504	chondrichtyen	Lamniformes	Lamnidae	Carcharodon	Carcharodon_carcharias	720	Pelagic	0	0	0	1	0	0	0	1	100	Oceanodromous	Ovoviviparous	no	no	Both	Carnivorous	4.5	U
600	osteichthyen	Ophidiiformes	Bythitidae	Cataetyx	Cataetyx_alleni	12	Demersal	0	1	0	0	1	0	0	480	1000	no	Viviparous	no	no	NA	Carnivorous	3.4	U
601	osteichthyen	Ophidiiformes	Bythitidae	Cataetyx	Cataetyx_laticeps	65	Demersal	0	1	1	0	1	0	0	500	2400	no	Viviparous	no	no	NA	Carnivorous	3.8	U
252	osteichthyen	Perciformes	Centracanthidae	Centracanthus	Centracanthus_cirrus	22	Pelagic	0	0	1	1	0	1	0	10	200	no	Oviparous	no	no	Gregarious	Carnivorous	3.3	U
7	osteichthyen	Perciformes	Labridae	Centrolabrus	Centrolabrus_exoletus	17	Demersal	1	0	0	0	0	1	0	2	15	no	Oviparous	no	no	Gregarious	Carnivorous	3.5	A
605	osteichthyen	Perciformes	Centrolophidae	Centrolophus	Centrolophus_niger	150	Pelagic	0	0	0	1	0	0	0	5	800	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.9	U
511	chondrichtyen	Squaliformes	Centrophoridae	Centrophorus	Centrophorus_granulosus	150	Demersal	0	1	1	0	1	0	0	60	1200	no	Ovoviviparous	no	no	Solitary	Carnivorous	4.1	U
512	chondrichtyen	Squaliformes	Centrophoridae	Centrophorus	Centrophorus_uyato	100	Demersal	0	1	1	0	0	0	0	50	1400	no	Ovoviviparous	no	no	Solitary	Carnivorous	4.5	U
513	chondrichtyen	Squaliformes	Squalidae	Centroscymnus	Centroscymnus_coelolepis	120	Demersal	0	0	1	1	1	0	0	150	3700	no	Ovoviviparous	no	no	Solitary	Carnivorous	4.5	U
622	osteichthyen	Perciformes	Serranidae	Cephalopholis	Cephalopholis_taeniops	70	Demersal	1	0	0	0	1	1	0	20	300	no	Oviparous	Protogynous	no	NA	Carnivorous	4.4	A
586	osteichthyen	Perciformes	Cepolidae	Cepola	Cepola_macrophthalma	70	Benthic	0	1	1	0	1	0	0	40	100	NA	Oviparous	no	no	Both	Carnivorous	3.1	U
540	osteichthyen	Myctophiformes	Myctophidae	Ceratoscopelus	Ceratoscopelus_maderensis	8	Pelagic	0	0	0	1	0	0	0	50	1080	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.1	U
505	chondrichtyen	Lamniformes	Cetorhinidae	Cetorhinus	Cetorhinus_maximus	320	Demersal	1	0	0	0	1	1	0	1	70	Oceanodromous	Ovoviviparous	no	no	Gregarious	Carnivorous	3.2	U
